username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MCIFrance;2017-09-23 17:52;20;19;"FM : Manchester City 5-0 Crystal Palace Une première mi-temps difficile mais la seconde fut parfaite ! Large victoire des cityzens ! #MCICRY pic.twitter.com/ezuMrCLtsA";;;#MCICRY;"911619371721793537";https://twitter.com/MCIFrance/status/911619371721793537
kicker_ENG;2017-09-23 17:52;0;0;"Manchester City - Crystal Palace 5:0 (1:0) Schlusspfiff #MCICRY http://www. kicker.de/news/fussball/ intligen/england/barclays-premier-league/2017-18/6/3815984/spielschema_manchester-city-1343_crystal-palace.html#omsmtwkicker …";;;#MCICRY #omsmtwkicker;"911619363240861698";https://twitter.com/kicker_ENG/status/911619363240861698
OnlyWayIsFooty;2017-09-23 17:52;0;0;"FT: Manchester City 5-0 Crystal Palace #MCICRY #PL";;;#MCICRY #PL;"911619357943484417";https://twitter.com/OnlyWayIsFooty/status/911619357943484417
Merrybetgold;2017-09-23 17:52;0;1;"Match ended Man City 5:0 Crystal Palace #MCICRY pic.twitter.com/T243of93hC";;;#MCICRY;"911619352532852737";https://twitter.com/Merrybetgold/status/911619352532852737
SRCardsEPL;2017-09-23 17:52;0;0;"Match ended Man City 5:0 Crystal Palace #MCICRY pic.twitter.com/hvuXGmgMYB";;;#MCICRY;"911619339878567936";https://twitter.com/SRCardsEPL/status/911619339878567936
CPFC_Polska;2017-09-23 17:52;0;0;"Koniec. Przegraliśmy z Manchesterem City 0-5. Wstyd. #MCICRY";;;#MCICRY;"911619333591326720";https://twitter.com/CPFC_Polska/status/911619333591326720
abdaxxx;2017-09-23 17:52;0;1;"#MCICRY guys used to say la liga is weak bcoz big teams score alot of goals in a single match, guess wat now its happening in EPL #PEPeffect";;;#MCICRY #PEPeffect;"911619324657520640";https://twitter.com/abdaxxx/status/911619324657520640
abhimanyu192;2017-09-23 17:52;0;0;"@CPFC are so shit that even Delph scored against them. #MCICRY";;@CPFC;#MCICRY;"911619318940446721";https://twitter.com/abhimanyu192/status/911619318940446721
paniekvoetbal;2017-09-23 17:52;0;0;"Eindstand Manchester City - Crystal Palace: 5-0 #mcicry #premierleague";;;#mcicry #premierleague;"911619307494367232";https://twitter.com/paniekvoetbal/status/911619307494367232
sport_mercato;2017-09-23 17:52;0;0;"مانشستر سيتي يواصل عروضه الرائعة في البريمرليغ ويسحق كريستال بالاس بخماسية نظيفة #MCICRY #PremierLeague";;;#MCICRY #PremierLeague;"911619304159924224";https://twitter.com/sport_mercato/status/911619304159924224
Boursifoot;2017-09-23 17:52;0;0;"LIVE #foot #Ang #MCICRY Manchester City 5 - 0 Crystal Palace: score final http:// bit.ly/2fhOqhW pic.twitter.com/KFEeKOLV7L";;;#foot #Ang #MCICRY;"911619302817718272";https://twitter.com/Boursifoot/status/911619302817718272
olly413__;2017-09-23 17:52;0;2;"Manchester city come with that xtra sauce #ManCity #MCICRY #EPL";;;#ManCity #MCICRY #EPL;"911619297977470977";https://twitter.com/olly413__/status/911619297977470977
threelionsland;2017-09-23 17:52;0;0;"Geiles Tor von City!! #MCICRY";;;#MCICRY;"911619297830727680";https://twitter.com/threelionsland/status/911619297830727680
Ahmadooovic;2017-09-23 17:52;0;0;"كريستال بالاس يواصل البدايةالكارثية بمثابة المعجزة لوأبقى عليهم هودجسون في البريميرليغ هذاإن لم تتم إقالته #McICry https:// twitter.com/ahmadooovic/st atus/909045088722055168 …";;;#McICry;"911619295364435978";https://twitter.com/Ahmadooovic/status/911619295364435978
MaxSchmel;2017-09-23 17:52;0;0;"Encore un gros match de @LeroySane19 #ManCity #MCICRY #CmonCity";;@LeroySane19;#ManCity #MCICRY #CmonCity;"911619294047424513";https://twitter.com/MaxSchmel/status/911619294047424513
HayceOlator;2017-09-23 17:52;0;0;"5 - 0 #MCICRY";;;#MCICRY;"911619283112820738";https://twitter.com/HayceOlator/status/911619283112820738
Footballogue;2017-09-23 17:52;140;147;"[ #PL ] MANCHESTER CITY 5-0 CRYSTAL PALACE Manchester City explose Crystal Palace à domicile ! #MCICRY pic.twitter.com/91fmty5kcp";;;#PL #MCICRY;"911619281917444096";https://twitter.com/Footballogue/status/911619281917444096
lnstantFoot;2017-09-23 17:52;12;13;"#PL | #MCICRY Encore un festival offensif de Manchester City qui l'emporte 5-0 face à Crystal Palace ! pic.twitter.com/haED7U1sFU";;;#PL #MCICRY;"911619281686757377";https://twitter.com/lnstantFoot/status/911619281686757377
omobadmus126;2017-09-23 17:52;0;2;"My noisy neighbors are very wicked. #MCICRY #PL";;;#MCICRY #PL;"911619276804640768";https://twitter.com/omobadmus126/status/911619276804640768
1hrSPORT;2017-09-23 17:52;0;0;"#CPFC have sworn to be relegated half-way into the season. #MCICRY";;;#CPFC #MCICRY;"911619258248986626";https://twitter.com/1hrSPORT/status/911619258248986626
swedishh59;2017-09-23 17:52;0;1;"City c est 16 buts marqués et 0 encaissé sur leur 3 derniers match de PL (et un 4 0 LDC) #MCICRY #PremierLeague #footballtotal";;;#MCICRY #PremierLeague #footballtotal;"911619255493382144";https://twitter.com/swedishh59/status/911619255493382144
LKhozian;2017-09-23 17:52;0;0;"City 3,5 buts/ matchs depuis le début de la saison mais où est le respect? 5-0, 6-0, 5-0 sur les trois derniers matchs whaou #MCICRY";;;#MCICRY;"911619247574528001";https://twitter.com/LKhozian/status/911619247574528001
sacolusa;2017-09-23 17:52;0;0;"CONCURRENCE INEXISTANTE #MCICRY";;;#MCICRY;"911619226502406144";https://twitter.com/sacolusa/status/911619226502406144
AdvertiserCPFC;2017-09-23 17:52;0;0;"Full time: City 5-0 Palace #cpfc #mcfc #mcicry";;;#cpfc #mcfc #mcicry;"911619218390622208";https://twitter.com/AdvertiserCPFC/status/911619218390622208
cityzenpodcast;2017-09-23 17:52;1;7;"5-0!! Believe I had that.... #nailedit . #mcfc #ManCity #cityvcpfc #MCICRY https:// twitter.com/cityzenpodcast /status/911580804328943616 …";;;#nailedit #mcfc #ManCity #cityvcpfc #MCICRY;"911619206457823232";https://twitter.com/cityzenpodcast/status/911619206457823232
Bitter_and_Blue;2017-09-23 17:52;1;6;"Thanks to an exceptional second half, #MCFC score five again and remain on fire and on top of the league. #MCICRY https:// bitterandblue.sbnation.com/2017/9/23/1635 4166/manchester-city-crystal-palace-premier-league-2017-final-score-post-match-reaction?utm_campaign=bitterandblue.sbnation&utm_content=chorus&utm_medium=social&utm_source=twitter …";;;#MCFC #MCICRY;"911619198140461056";https://twitter.com/Bitter_and_Blue/status/911619198140461056
AziziOthmanMY;2017-09-23 17:52;0;0;"Man City 5-0 Crystal Palace (89 mins) Fabian Delph sends a fine shot into the top corner from the edge of the area #MCICRY";;;#MCICRY;"911619187893788672";https://twitter.com/AziziOthmanMY/status/911619187893788672
jacomus22;2017-09-23 17:52;4;5;"Hodgson out? #CPFC #MCICRY #mcfcvcpfc #mcfc";;;#CPFC #MCICRY #mcfcvcpfc #mcfc;"911619186799063041";https://twitter.com/jacomus22/status/911619186799063041
7gabriel_melo;2017-09-23 17:52;0;0;"Fim de jogo Manchester City 5 x 0 Crystal Palace Gols: Sané, Sterling (2), Aguero, Delph #MCICRY pic.twitter.com/B6c626Zh8i";;;#MCICRY;"911619181384224776";https://twitter.com/7gabriel_melo/status/911619181384224776
Tapanpiplani;2017-09-23 17:52;0;0;"@beINSPORTS @beINSPORTS_MENA #MCICRY that goal by Fabian Delph brought together a three baldies celebration! Is that unique?";;@beINSPORTS @beINSPORTS_MENA;#MCICRY;"911619168927145986";https://twitter.com/Tapanpiplani/status/911619168927145986
C_Veh_;2017-09-23 17:52;0;0;"#MCICRY can we please appreciate the brilliance of David Silva!!! Man is invaluable";;;#MCICRY;"911619167404593153";https://twitter.com/C_Veh_/status/911619167404593153
EdwardCollen369;2017-09-23 17:52;0;0;"Heard haters saying Aguero is selfish #ManCity #MCICRY";;;#ManCity #MCICRY;"911619167115186177";https://twitter.com/EdwardCollen369/status/911619167115186177
Moore0_0;2017-09-23 17:51;0;0;"Palace have been poor again, city on the other hand have been dominant again #MCICRY #PremierLeague";;;#MCICRY #PremierLeague;"911619161901731840";https://twitter.com/Moore0_0/status/911619161901731840
iam_karthikcm;2017-09-23 17:51;0;1;"#Guardiola is so good, that he coaches #FabianDelph to a level that he scores a beauty of a #MCICRY #EPL #Sterling #Sane";;;#Guardiola #FabianDelph #MCICRY #EPL #Sterling #Sane;"911619142968532992";https://twitter.com/iam_karthikcm/status/911619142968532992
CPFC;2017-09-23 17:51;103;249;"It's all over. [5-0] #MCICRY pic.twitter.com/pmdqYikwgT";;;#MCICRY;"911619135548919808";https://twitter.com/CPFC/status/911619135548919808
juras_7;2017-09-23 17:51;0;2;"Z gówna bata nie ukręci nawet sam Roy Hodgson... #MCICRY";;;#MCICRY;"911619127982387200";https://twitter.com/juras_7/status/911619127982387200
what_if_Taha;2017-09-23 17:51;0;1;"#MCICRY Even the twitter trend is justifying #crystalpalace 's state CRY is all they can do right now #PremierLeague #ManCity #hammered";;;#MCICRY #crystalpalace #PremierLeague #ManCity #hammered;"911619121523122177";https://twitter.com/what_if_Taha/status/911619121523122177
Ukasha60521;2017-09-23 17:51;0;0;"#MCICRY via @premierleague https://www. premierleague.com/match/22397";;@premierleague;#MCICRY;"911619106553700357";https://twitter.com/Ukasha60521/status/911619106553700357
