username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
mikewills_sport;2017-09-23 15:22;0;8;"Amongst the rolling Lancashire hills for #BURHUD . Looking out for celebrity clarets fans @tonylivesey & @jordannorth1 #bbcfootball pic.twitter.com/rY7CqbvQnt";;@tonylivesey @jordannorth1;#BURHUD #bbcfootball;"911611691821039616";https://twitter.com/mikewills_sport/status/911611691821039616
HTAFCFR;2017-09-23 15:22;0;0;"Changement pour les Terriers Van la Parra Sabiri #utt #burhud";;;#utt #burhud;"911611680957894657";https://twitter.com/HTAFCFR/status/911611680957894657
barmyarmyuk;2017-09-23 15:21;0;0;"LATEST | #Burnley 0-0 #Huddersfield | #bfc vs #htafc | #BURHUD | Attendance: 20,759 (Town 2,471)";;;#Burnley #Huddersfield #bfc #htafc #BURHUD;"911611560577073154";https://twitter.com/barmyarmyuk/status/911611560577073154
Merrybetgold;2017-09-23 15:21;0;0;"63′ Substitution Huddersfield Burnley 0:0 Huddersfield #BURHUD pic.twitter.com/KMg0XFy5jv";;;#BURHUD;"911611432390754306";https://twitter.com/Merrybetgold/status/911611432390754306
RickCunliffe;2017-09-23 15:20;0;0;"Do we practice shooting? #twitterclarets #BURHUD";;;#twitterclarets #BURHUD;"911611295878795264";https://twitter.com/RickCunliffe/status/911611295878795264
HTAFCFR;2017-09-23 15:19;0;0;"54’ toujours 0/0 Burnley continue de dominer et de centrer à tout va... #burhud #utt";;;#burhud #utt;"911611021684592641";https://twitter.com/HTAFCFR/status/911611021684592641
m3gjopol;2017-09-23 15:19;0;0;"Need to tighten these screws! #BURHUD #twitterclarets";;;#BURHUD #twitterclarets;"911610960636448768";https://twitter.com/m3gjopol/status/911610960636448768
SRCardsEPL;2017-09-23 15:19;0;0;"60′ Team stats Burnley 0:0 Huddersfield #BURHUD pic.twitter.com/Lf1RTRed8O";;;#BURHUD;"911610891938009089";https://twitter.com/SRCardsEPL/status/911610891938009089
Merrybetgold;2017-09-23 15:19;0;1;"Team Statistics Burnley 0:0 Huddersfield #BURHUD pic.twitter.com/kygoqOeKB7";;;#BURHUD;"911610890088218624";https://twitter.com/Merrybetgold/status/911610890088218624
NonsenseHTAFC;2017-09-23 15:19;1;2;"Having watched this, even we'd put this last on @BBCMOTD tonight! #htafc #BURHUD #MatchOfTheDay";;@BBCMOTD;#htafc #BURHUD #MatchOfTheDay;"911610864343666690";https://twitter.com/NonsenseHTAFC/status/911610864343666690
lelsrud;2017-09-23 15:18;0;0;"Hbk g 11, burnley fc vs huddersfield, half time match #2pl #BURHUD #turfmoor #halftimematch #comeonyouclarets pic.twitter.com/L1DCqYIGFK";;;#2pl #BURHUD #turfmoor #halftimematch #comeonyouclarets;"911610799013195776";https://twitter.com/lelsrud/status/911610799013195776
NBCSportsSoccer;2017-09-23 15:17;8;13;"Watch #BURHUD without @NBCSportsGold here: http:// bit.ly/2hql1CO pic.twitter.com/ezeejJGgxn";;@NBCSportsGold;#BURHUD;"911610584055107584";https://twitter.com/NBCSportsSoccer/status/911610584055107584
barmyarmyuk;2017-09-23 15:17;0;0;"LATEST | #Burnley 0-0 #Huddersfield | #bfc vs #htafc | #BURHUD | (60)";;;#Burnley #Huddersfield #bfc #htafc #BURHUD;"911610451364139008";https://twitter.com/barmyarmyuk/status/911610451364139008
BBCMOTD;2017-09-23 15:15;2;18;"Just one goalless game so far in the Premier League today. Follow Burnley v Huddersfield here http:// bbc.in/2foRDja #BURHUD pic.twitter.com/jjqFn8XaR7";;;#BURHUD;"911609914258313216";https://twitter.com/BBCMOTD/status/911609914258313216
barmyarmyuk;2017-09-23 15:07;0;0;"LATEST | #Burnley 0-0 #Huddersfield | #bfc vs #htafc | #BURHUD | (50)";;;#Burnley #Huddersfield #bfc #htafc #BURHUD;"911608083851464710";https://twitter.com/barmyarmyuk/status/911608083851464710
PJChambers6;2017-09-23 15:06;0;0;"Got an uneasy feeling about this match #BURHUD #TwitterClarets";;;#BURHUD #TwitterClarets;"911607767819014144";https://twitter.com/PJChambers6/status/911607767819014144
barmyarmyuk;2017-09-23 15:02;1;0;"LATEST | #Burnley 0-0 #Huddersfield | #bfc vs #htafc | #BURHUD | Second Half Underway!";;;#Burnley #Huddersfield #bfc #htafc #BURHUD;"911606798225993728";https://twitter.com/barmyarmyuk/status/911606798225993728
JADWAL_HKLPI;2017-09-23 15:02;0;0;"MULAI PERTANDINGAN BABAK KEDUA! LIVE: http:// crwd.fr/2xppYTV #BURHUD 0-0 #EVEBOU 0-0 #MCICRY 1-0 #SOUMUN 0-1 #STKCHE 0-2 #SWAWAT 0-1";;;#BURHUD #EVEBOU #MCICRY #SOUMUN #STKCHE #SWAWAT;"911606792412553217";https://twitter.com/JADWAL_HKLPI/status/911606792412553217
SimonHumphreys1;2017-09-23 15:00;0;0;"HALF TIME - @BurnleyOfficial 0 v @htafcdotcom 0. @talksportmdl #BURHUD pic.twitter.com/7QnTlLiNa0";;@BurnleyOfficial @htafcdotcom @talksportmdl;#BURHUD;"911606283899465729";https://twitter.com/SimonHumphreys1/status/911606283899465729
BURN_ThisMinute;2017-09-23 15:00;0;0;"Live Player stats Burnley 0 v Huddersfield Town 0 with inplay odds see http:// bit.ly/2xq97Au #BURHUD #bfc";;;#BURHUD #bfc;"911606102273462272";https://twitter.com/BURN_ThisMinute/status/911606102273462272
OfficialFPL;2017-09-23 14:56;52;181;"BONUS POINTS AS IT STANDS #BURHUD 3 – Hogg 2 – Schindler 1 – Defour #MCICRY 3 – Sane 2 – Silva 1 – De Bruyne pic.twitter.com/4wBsggE8aG";;;#BURHUD #MCICRY;"911605312184037377";https://twitter.com/OfficialFPL/status/911605312184037377
Fpl_Updates;2017-09-23 14:56;2;7;"#FPL Mid-Game Bonus Points (45mins) #BURHUD HT 0-0 3 – Hogg 2 – Schindler 1 – Defour";;;#FPL #BURHUD;"911605311315873792";https://twitter.com/Fpl_Updates/status/911605311315873792
