username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
50shadesleather;2017-09-23 18:32;0;0;"Now focus on this OFFER to get 37% Discount for every purchase! Message @50shadesleather AFTER Choosing your Fav. Colour from IMAGE. #leiliv pic.twitter.com/vpScI00V5Y";;@50shadesleather;#leiliv;"911659629482037248";https://twitter.com/50shadesleather/status/911659629482037248
eff_sea23;2017-09-23 18:32;0;0;"The officiating was another level of Awful today, Tried everything to get Leicester back into that. #LEILIV";;;#LEILIV;"911659623966547968";https://twitter.com/eff_sea23/status/911659623966547968
tapiwapasi;2017-09-23 18:32;0;0;"Fun Commentator in studio said @LFC did everything to throw away the lead against @LCFC but somehow managed to win the game #LEILIV";;@LFC @LCFC;#LEILIV;"911659613937963008";https://twitter.com/tapiwapasi/status/911659613937963008
LiamMcgrath_GK1;2017-09-23 18:32;0;0;"@SMignolet @JHenderson @Phil_Coutinho absolutely quality today.Amazing performance from you and the rest of the lads #LEILIV #YNWA #LFC";;@SMignolet @JHenderson @Phil_Coutinho;#LEILIV #YNWA #LFC;"911659609714196480";https://twitter.com/LiamMcgrath_GK1/status/911659609714196480
KeithZamora_BDU;2017-09-23 18:32;0;0;"#LEILIV What a game!.. 3 points for #LFC against the cheating Huggers ( #LCFC ).. We outfoxed the #Foxes .. Job done!.. Confidence up.. #YNWA";;;#LEILIV #LFC #LCFC #Foxes #YNWA;"911659592358223873";https://twitter.com/KeithZamora_BDU/status/911659592358223873
united4ewa;2017-09-23 18:32;0;0;"Emre Can given more defensive responsibility today to cover Jordan Henderson #LEILIV #LIV";;;#LEILIV #LIV;"911659590693130241";https://twitter.com/united4ewa/status/911659590693130241
TrumanBurbank10;2017-09-23 18:32;1;0;"@LCFC being where they are proves that long ball, hit Vardy, run fast, long ball, Sam Allardyce football actually doesn’t work. #LEILIV";;@LCFC;#LEILIV;"911659585878069249";https://twitter.com/TrumanBurbank10/status/911659585878069249
_100_FOOT;2017-09-23 18:32;0;0;"PREMIER LEAGUE - 6E JOURNEE : Leicester 2-3 Liverpool #PremierLeague - #LEILIV : @premierleague pic.twitter.com/DN2KwRsfQy";;@premierleague;#PremierLeague #LEILIV;"911659582912593927";https://twitter.com/_100_FOOT/status/911659582912593927
wsdnet;2017-09-23 18:32;3;5;"岡崎慎司が身体を張った気迫の一撃も…レスターはリバプールとの打ち合いに敗れる | サッカーダイジェストWeb http://www. soccerdigestweb.com/news/detail/id =30329 … #LEILIV #レスター #岡崎慎司 #プレミアリーグ #日本代表 pic.twitter.com/1rwA3O8BSx";;;#LEILIV # # # #;"911659571726258176";https://twitter.com/wsdnet/status/911659571726258176
libscouser;2017-09-23 18:32;0;0;"MOTM is Phil. well done. #LEILIV";;;#LEILIV;"911659565871190016";https://twitter.com/libscouser/status/911659565871190016
iSalalah;2017-09-23 18:32;0;0;"هُم جميلين … وانت انت الاجمل (كوتينهو) #LEILIV pic.twitter.com/aT3nd4rcqp";;;#LEILIV;"911659565023993861";https://twitter.com/iSalalah/status/911659565023993861
LJupeta;2017-09-23 18:32;0;2;"90 mins roller coaster ride with @LFC #LEILIV";;@LFC;#LEILIV;"911659554080907264";https://twitter.com/LJupeta/status/911659554080907264
ldnfinest1;2017-09-23 18:32;0;0;"#LEILIV a hard fought win #ynwa";;;#LEILIV #ynwa;"911659548682878978";https://twitter.com/ldnfinest1/status/911659548682878978
luzhenyuan;2017-09-23 18:32;0;2;"Want to see more aggression and hunger from Sturridge if he's going to be a starter...right now super-sub is about right... #LFC #LEILIV";;;#LFC #LEILIV;"911659543775473664";https://twitter.com/luzhenyuan/status/911659543775473664
JBensonLFC;2017-09-23 18:32;0;2;"Great for a neutral. I'm not a neutral. My head went a little. It's a win, a good win in the end, despite the negatives #LEILIV";;;#LEILIV;"911659534569103360";https://twitter.com/JBensonLFC/status/911659534569103360
mohaali1979;2017-09-23 18:32;0;0;"الجنون #ليفربول .. فوز مجنون واداء مقنع مع بقاء مشاكل الدفاع .. مبروك عودة الروح وكوتينهو #LEILIV #YWNA https:// twitter.com/LFC_Arabic/sta tus/911657564512845825 …";;;# #LEILIV #YWNA;"911659532979490816";https://twitter.com/mohaali1979/status/911659532979490816
MrFitriansyah;2017-09-23 18:32;0;0;"Ngeri Nyeri Sedap, Full Time #LEILIV 2-3 (Salah, Coutinho, Henderson)";;;#LEILIV;"911659524443881472";https://twitter.com/MrFitriansyah/status/911659524443881472
ahshan77;2017-09-23 18:32;0;1;"3 big away points for Liverpool #LEILIV pic.twitter.com/HvWDjxbg4Q";;;#LEILIV;"911659520052543488";https://twitter.com/ahshan77/status/911659520052543488
