username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
bdnews24;2017-09-23 14:19;0;0;"BBCSport: GOAL! Andre Gray with his 1st #watfordfc goal Swansea 0-1 Watford http:// bbc.in/2hoq0Yd #SWAWAT … https:// twitter.com/BBCSport/statu s/911595484837445632 …";;;#watfordfc #SWAWAT;"911595871686529024";https://twitter.com/bdnews24/status/911595871686529024
SossieLondon1;2017-09-23 14:19;0;0;"Swansea 0-1 Watford #SWAWAT";;;#SWAWAT;"911595859837689856";https://twitter.com/SossieLondon1/status/911595859837689856
OfficialFPL;2017-09-23 14:18;30;104;"After Opta’s review, the assist for Watford’s first goal has been awarded to Carrillo #SWAWAT #FPL https:// twitter.com/OfficialFPL/st atus/911594526665580544 …";;;#SWAWAT #FPL;"911595708570112002";https://twitter.com/OfficialFPL/status/911595708570112002
SwanseaCityLive;2017-09-23 14:18;0;0;"18 - Only one team in this at the moment... and it's not Swansea #Swans #SWAWAT http://www. walesonline.co.uk/sport/football /football-news/swansea-city-vs-watford-live-13663398 …";;;#Swans #SWAWAT;"911595679973363713";https://twitter.com/SwanseaCityLive/status/911595679973363713
FrenchSwans;2017-09-23 14:18;0;0;"17' Frappe de Capoue, hors du cadre #SWAWAT 0-1";;;#SWAWAT;"911595674118041600";https://twitter.com/FrenchSwans/status/911595674118041600
SBOBET;2017-09-23 14:18;0;0;"13’ | #SWAWAT 0-1 | Andre Gray ( #WatfordFC ) with a shot inside the right post! pic.twitter.com/ehGnrb6AS7";;;#SWAWAT #WatfordFC;"911595670598860800";https://twitter.com/SBOBET/status/911595670598860800
WatfordESP;2017-09-23 14:18;0;1;"18' | Disparo de Gray que se va desviado. @SwansOfficial 0-1 #WatfordFC #SWAWAT @premierleague";;@SwansOfficial @premierleague;#WatfordFC #SWAWAT;"911595635022995456";https://twitter.com/WatfordESP/status/911595635022995456
TeenSportUK;2017-09-23 14:18;1;1;"GOAL Swansea 0-1 Watford (13 mins) Andre Gray slots home a loose ball for his first #PL goal for Watford #SWAWAT";;;#PL #SWAWAT;"911595579947577345";https://twitter.com/TeenSportUK/status/911595579947577345
EPL_ArabicNews;2017-09-23 14:17;0;0;"15: How did that not go in!? LeroyFer8’s header drifts across goal, and Gomes manages to turn it around the post. #SWAWAT 0-1";;;#SWAWAT;"911595504118763521";https://twitter.com/EPL_ArabicNews/status/911595504118763521
EPL_ArabicNews;2017-09-23 14:17;0;0;"13: Goal. WatfordFC take the lead through Gray. #SWAWAT 0-1";;;#SWAWAT;"911595500356415490";https://twitter.com/EPL_ArabicNews/status/911595500356415490
BBCSport;2017-09-23 14:17;30;101;"GOAL! Andre Gray with his 1st #watfordfc goal Swansea 0-1 Watford http:// bbc.in/2hoq0Yd #SWAWAT pic.twitter.com/FPHOKy436w";;;#watfordfc #SWAWAT;"911595484837445632";https://twitter.com/BBCSport/status/911595484837445632
5acesports;2017-09-23 14:17;1;0;"GOAL! Swansea 0-1 Watford (Gray) #5AS #SWAWAT #PL";;;#5AS #SWAWAT #PL;"911595440482783232";https://twitter.com/5acesports/status/911595440482783232
PremPlace;2017-09-23 14:17;0;0;"#Watford are 1-0 up at #Swansea , Andre #Gray with the goal. #SWAWAT";;;#Watford #Swansea #Gray #SWAWAT;"911595360119816193";https://twitter.com/PremPlace/status/911595360119816193
SkySport;2017-09-23 14:16;1;3;"#SWAWAT : vantaggio #Watford ! Gol di #Gray al 13’ #SkyPremier pic.twitter.com/YiosPcqnlX";;;#SWAWAT #Watford #Gray #SkyPremier;"911595240246726656";https://twitter.com/SkySport/status/911595240246726656
1hrSPORT;2017-09-23 14:16;0;0;"Goal! #watfordfc are in front 0-1 #SWAWAT pic.twitter.com/xpFeqiRlyP";;;#watfordfc #SWAWAT;"911595203210956803";https://twitter.com/1hrSPORT/status/911595203210956803
